"publishCount","publishTime"
"359","1970-01"
"89","1970-02"
"20","1970-03"
"14","1970-04"
"17","1970-05"
"23","1970-06"
"31","1970-07"
"19","1970-08"
"19","1970-09"
"18","1970-10"
"30","1970-11"
"19","1970-12"
"148","1971-01"
"75","1971-02"
"29","1971-03"
"29","1971-04"
"20","1971-05"
"25","1971-06"
"37","1971-07"
"14","1971-08"
"27","1971-09"
"21","1971-10"
"26","1971-11"
"23","1971-12"
"191","1972-01"
"81","1972-02"
"25","1972-03"
"23","1972-04"
"22","1972-05"
"24","1972-06"
"43","1972-07"
"16","1972-08"
"16","1972-09"
"31","1972-10"
"24","1972-11"
"19","1972-12"
"188","1973-01"
"82","1973-02"
"26","1973-03"
"34","1973-04"
"19","1973-05"
"23","1973-06"
"44","1973-07"
"12","1973-08"
"23","1973-09"
"36","1973-10"
"17","1973-11"
"24","1973-12"
"169","1974-01"
"102","1974-02"
"25","1974-03"
"29","1974-04"
"27","1974-05"
"31","1974-06"
"33","1974-07"
"18","1974-08"
"17","1974-09"
"32","1974-10"
"31","1974-11"
"18","1974-12"
"176","1975-01"
"97","1975-02"
"25","1975-03"
"30","1975-04"
"27","1975-05"
"27","1975-06"
"31","1975-07"
"25","1975-08"
"29","1975-09"
"24","1975-10"
"22","1975-11"
"21","1975-12"
"193","1976-01"
"101","1976-02"
"35","1976-03"
"27","1976-04"
"34","1976-05"
"31","1976-06"
"46","1976-07"
"19","1976-08"
"32","1976-09"
"32","1976-10"
"27","1976-11"
"29","1976-12"
"210","1977-01"
"104","1977-02"
"24","1977-03"
"17","1977-04"
"22","1977-05"
"17","1977-06"
"40","1977-07"
"13","1977-08"
"35","1977-09"
"27","1977-10"
"27","1977-11"
"26","1977-12"
"255","1978-01"
"116","1978-02"
"21","1978-03"
"22","1978-04"
"30","1978-05"
"37","1978-06"
"51","1978-07"
"26","1978-08"
"33","1978-09"
"26","1978-10"
"29","1978-11"
"43","1978-12"
"237","1979-01"
"94","1979-02"
"23","1979-03"
"27","1979-04"
"38","1979-05"
"29","1979-06"
"54","1979-07"
"14","1979-08"
"37","1979-09"
"23","1979-10"
"23","1979-11"
"45","1979-12"
"277","1980-01"
"105","1980-02"
"25","1980-03"
"29","1980-04"
"25","1980-05"
"37","1980-06"
"37","1980-07"
"31","1980-08"
"30","1980-09"
"36","1980-10"
"24","1980-11"
"42","1980-12"
"242","1981-01"
"108","1981-02"
"26","1981-03"
"36","1981-04"
"27","1981-05"
"28","1981-06"
"44","1981-07"
"38","1981-08"
"35","1981-09"
"33","1981-10"
"34","1981-11"
"27","1981-12"
"214","1982-01"
"115","1982-02"
"25","1982-03"
"33","1982-04"
"30","1982-05"
"34","1982-06"
"41","1982-07"
"33","1982-08"
"33","1982-09"
"26","1982-10"
"23","1982-11"
"27","1982-12"
"249","1983-01"
"128","1983-02"
"29","1983-03"
"30","1983-04"
"30","1983-05"
"30","1983-06"
"50","1983-07"
"36","1983-08"
"29","1983-09"
"38","1983-10"
"34","1983-11"
"37","1983-12"
"293","1984-01"
"100","1984-02"
"38","1984-03"
"41","1984-04"
"45","1984-05"
"31","1984-06"
"37","1984-07"
"29","1984-08"
"29","1984-09"
"40","1984-10"
"28","1984-11"
"50","1984-12"
"354","1985-01"
"118","1985-02"
"42","1985-03"
"38","1985-04"
"61","1985-05"
"43","1985-06"
"49","1985-07"
"31","1985-08"
"29","1985-09"
"34","1985-10"
"48","1985-11"
"46","1985-12"
"430","1986-01"
"138","1986-02"
"56","1986-03"
"36","1986-04"
"47","1986-05"
"60","1986-06"
"67","1986-07"
"48","1986-08"
"69","1986-09"
"40","1986-10"
"46","1986-11"
"60","1986-12"
"422","1987-01"
"144","1987-02"
"51","1987-03"
"61","1987-04"
"75","1987-05"
"87","1987-06"
"99","1987-07"
"66","1987-08"
"59","1987-09"
"74","1987-10"
"64","1987-11"
"56","1987-12"
"475","1988-01"
"143","1988-02"
"74","1988-03"
"74","1988-04"
"108","1988-05"
"86","1988-06"
"74","1988-07"
"95","1988-08"
"73","1988-09"
"90","1988-10"
"93","1988-11"
"77","1988-12"
"542","1989-01"
"166","1989-02"
"73","1989-03"
"82","1989-04"
"89","1989-05"
"82","1989-06"
"93","1989-07"
"103","1989-08"
"108","1989-09"
"112","1989-10"
"99","1989-11"
"67","1989-12"
"671","1990-01"
"169","1990-02"
"121","1990-03"
"95","1990-04"
"109","1990-05"
"104","1990-06"
"97","1990-07"
"98","1990-08"
"111","1990-09"
"243","1990-10"
"107","1990-11"
"105","1990-12"
"594","1991-01"
"173","1991-02"
"106","1991-03"
"122","1991-04"
"127","1991-05"
"125","1991-06"
"161","1991-07"
"128","1991-08"
"172","1991-09"
"176","1991-10"
"145","1991-11"
"91","1991-12"
"584","1992-01"
"233","1992-02"
"160","1992-03"
"127","1992-04"
"123","1992-05"
"156","1992-06"
"136","1992-07"
"146","1992-08"
"153","1992-09"
"192","1992-10"
"146","1992-11"
"124","1992-12"
"697","1993-01"
"188","1993-02"
"234","1993-03"
"159","1993-04"
"166","1993-05"
"437","1993-06"
