"publishCount","publishTime"
"10972","1970-01"
"64","1970-02"
"142","1970-03"
"6","1970-04"
"49","1970-05"
"38","1970-06"
"61","1970-07"
"89","1970-08"
"94","1970-09"
"77","1970-10"
"81","1970-11"
"90","1970-12"
"628","1971-01"
"40","1971-02"
"77","1971-03"
"45","1971-04"
"48","1971-05"
"43","1971-06"
"82","1971-07"
"48","1971-08"
"123","1971-09"
"63","1971-10"
"91","1971-11"
"47","1971-12"
"702","1972-01"
"88","1972-02"
"186","1972-03"
"11","1972-04"
"48","1972-05"
"57","1972-06"
"62","1972-07"
"50","1972-08"
"167","1972-09"
"70","1972-10"
"131","1972-11"
"20","1972-12"
"881","1973-01"
"68","1973-02"
"94","1973-03"
"64","1973-04"
"52","1973-05"
"46","1973-06"
"44","1973-07"
"38","1973-08"
"140","1973-09"
"35","1973-10"
"75","1973-11"
"151","1973-12"
"753","1974-01"
"97","1974-02"
"160","1974-03"
"115","1974-04"
"123","1974-05"
"66","1974-06"
"77","1974-07"
"108","1974-08"
"108","1974-09"
"89","1974-10"
"74","1974-11"
"87","1974-12"
"1069","1975-01"
"74","1975-02"
"146","1975-03"
"74","1975-04"
"55","1975-05"
"84","1975-06"
"97","1975-07"
"108","1975-08"
"130","1975-09"
"153","1975-10"
"66","1975-11"
"106","1975-12"
"881","1976-01"
"208","1976-02"
"127","1976-03"
"185","1976-04"
"125","1976-05"
"110","1976-06"
"124","1976-07"
"88","1976-08"
"80","1976-09"
"193","1976-10"
"214","1976-11"
"86","1976-12"
"898","1977-01"
"78","1977-02"
"157","1977-03"
"41","1977-04"
"101","1977-05"
"96","1977-06"
"95","1977-07"
"150","1977-08"
"125","1977-09"
"57","1977-10"
"101","1977-11"
"71","1977-12"
"950","1978-01"
"51","1978-02"
"157","1978-03"
"87","1978-04"
"168","1978-05"
"131","1978-06"
"113","1978-07"
"79","1978-08"
"300","1978-09"
"122","1978-10"
"111","1978-11"
"107","1978-12"
"976","1979-01"
"200","1979-02"
"206","1979-03"
"108","1979-04"
"125","1979-05"
"101","1979-06"
"78","1979-07"
"147","1979-08"
"234","1979-09"
"141","1979-10"
"101","1979-11"
"445","1979-12"
"1298","1980-01"
"79","1980-02"
"178","1980-03"
"87","1980-04"
"112","1980-05"
"79","1980-06"
"118","1980-07"
"158","1980-08"
"101","1980-09"
"127","1980-10"
"106","1980-11"
"62","1980-12"
"807","1981-01"
"78","1981-02"
"99","1981-03"
"57","1981-04"
"108","1981-05"
"192","1981-06"
"109","1981-07"
"68","1981-08"
"74","1981-09"
"170","1981-10"
"183","1981-11"
"146","1981-12"
"1116","1982-01"
"108","1982-02"
"78","1982-03"
"121","1982-04"
"144","1982-05"
"177","1982-06"
"112","1982-07"
"64","1982-08"
"163","1982-09"
"116","1982-10"
"46","1982-11"
"163","1982-12"
"1183","1983-01"
"130","1983-02"
"125","1983-03"
"124","1983-04"
"110","1983-05"
"147","1983-06"
"698","1983-07"
"142","1983-08"
"154","1983-09"
"244","1983-10"
"132","1983-11"
"123","1983-12"
"1784","1984-01"
"165","1984-02"
"154","1984-03"
"67","1984-04"
"132","1984-05"
"208","1984-06"
"185","1984-07"
"69","1984-08"
"199","1984-09"
"253","1984-10"
"84","1984-11"
"249","1984-12"
"1831","1985-01"
"146","1985-02"
"203","1985-03"
"123","1985-04"
"122","1985-05"
"236","1985-06"
"222","1985-07"
"153","1985-08"
"242","1985-09"
"246","1985-10"
"250","1985-11"
"136","1985-12"
"2557","1986-01"
"267","1986-02"
"307","1986-03"
"232","1986-04"
"282","1986-05"
"282","1986-06"
"170","1986-07"
"282","1986-08"
"380","1986-09"
"199","1986-10"
"413","1986-11"
"1274","1986-12"
"2125","1987-01"
"895","1987-02"
"1198","1987-03"
"472","1987-04"
"390","1987-05"
"251","1987-06"
"399","1987-07"
"327","1987-08"
"236","1987-09"
"253","1987-10"
"256","1987-11"
"320","1987-12"
"2103","1988-01"
"295","1988-02"
"450","1988-03"
"426","1988-04"
"440","1988-05"
"356","1988-06"
"343","1988-07"
"758","1988-08"
"318","1988-09"
"213","1988-10"
"234","1988-11"
"367","1988-12"
"2237","1989-01"
"443","1989-02"
"438","1989-03"
"388","1989-04"
"253","1989-05"
"376","1989-06"
"284","1989-07"
"688","1989-08"
"343","1989-09"
"325","1989-10"
"545","1989-11"
"387","1989-12"
"3365","1990-01"
"236","1990-02"
"369","1990-03"
"293","1990-04"
"463","1990-05"
"512","1990-06"
"348","1990-07"
"397","1990-08"
"501","1990-09"
"554","1990-10"
"354","1990-11"
"427","1990-12"
"3374","1991-01"
"302","1991-02"
"620","1991-03"
"367","1991-04"
"379","1991-05"
"555","1991-06"
"640","1991-07"
"514","1991-08"
"529","1991-09"
"508","1991-10"
"416","1991-11"
"383","1991-12"
"3477","1992-01"
"624","1992-02"
"702","1992-03"
"498","1992-04"
"695","1992-05"
"878","1992-06"
"437","1992-07"
"793","1992-08"
"826","1992-09"
"1404","1992-10"
"569","1992-11"
"419","1992-12"
"3697","1993-01"
"642","1993-02"
"1036","1993-03"
"689","1993-04"
"1014","1993-05"
"794","1993-06"
"1311","1993-07"
"727","1993-08"
"826","1993-09"
"954","1993-10"
"660","1993-11"
"524","1993-12"
"4973","1994-01"
"817","1994-02"
"1029","1994-03"
"902","1994-04"
"872","1994-05"
"802","1994-06"
"864","1994-07"
"753","1994-08"
"901","1994-09"
"938","1994-10"
"1093","1994-11"
"665","1994-12"
"5885","1995-01"
"768","1995-02"
"1024","1995-03"
"936","1995-04"
"1555","1995-05"
"992","1995-06"
"943","1995-07"
"1091","1995-08"
"937","1995-09"
"909","1995-10"
"1036","1995-11"
"747","1995-12"
"5219","1996-01"
"918","1996-02"
"1093","1996-03"
"1194","1996-04"
"1121","1996-05"
"1206","1996-06"
"1045","1996-07"
"921","1996-08"
"1280","1996-09"
"1121","1996-10"
"1148","1996-11"
"672","1996-12"
"5662","1997-01"
"892","1997-02"
"1265","1997-03"
"1078","1997-04"
"1779","1997-05"
"1240","1997-06"
"1349","1997-07"
"1458","1997-08"
"1412","1997-09"
"1466","1997-10"
"1460","1997-11"
"826","1997-12"
"6206","1998-01"
"1252","1998-02"
"1394","1998-03"
"1306","1998-04"
"1774","1998-05"
"1953","1998-06"
"1412","1998-07"
"1373","1998-08"
"1505","1998-09"
"1893","1998-10"
"1390","1998-11"
"1358","1998-12"
"7312","1999-01"
"1713","1999-02"
"3008","1999-03"
"2606","1999-04"
"3425","1999-05"
"3986","1999-06"
"3215","1999-07"
"4075","1999-08"
"3495","1999-09"
"3526","1999-10"
"4116","1999-11"
"2901","1999-12"
"8756","2000-01"
"18923","2000-02"
"2136","2000-03"
"2174","2000-04"
"3029","2000-05"
"3277","2000-06"
"2304","2000-07"
"2770","2000-08"
"2999","2000-09"
"2845","2000-10"
"2741","2000-11"
"2744","2000-12"
"8173","2001-01"
"2456","2001-02"
"3085","2001-03"
"2374","2001-04"
"3374","2001-05"
"3197","2001-06"
"2577","2001-07"
"2204","2001-08"
"3090","2001-09"
"3490","2001-10"
"2640","2001-11"
"1893","2001-12"
"13994","2002-01"
"2431","2002-02"
"2619","2002-03"
"2579","2002-04"
"2905","2002-05"
"2437","2002-06"
"2524","2002-07"
"3420","2002-08"
"2834","2002-09"
"2919","2002-10"
"2235","2002-11"
"2033","2002-12"
"7762","2003-01"
"2242","2003-02"
"3548","2003-03"
"2501","2003-04"
"2798","2003-05"
"2657","2003-06"
"2847","2003-07"
"2686","2003-08"
"4165","2003-09"
"3110","2003-10"
"3152","2003-11"
"2590","2003-12"
"9732","2004-01"
"2790","2004-02"
"3812","2004-03"
"3929","2004-04"
"4050","2004-05"
"4092","2004-06"
"3291","2004-07"
"3623","2004-08"
"4330","2004-09"
"3924","2004-10"
"3764","2004-11"
"3767","2004-12"
"12903","2005-01"
"3318","2005-02"
"5630","2005-03"
"19701","2005-04"
"6339","2005-05"
"5788","2005-06"
"4708","2005-07"
"5747","2005-08"
"5526","2005-09"
"5311","2005-10"
"6569","2005-11"
"4334","2005-12"
"18539","2006-01"
"5579","2006-02"
"8103","2006-03"
"8865","2006-04"
"8681","2006-05"
"13691","2006-06"
"5779","2006-07"
"9383","2006-08"
"7304","2006-09"
"7116","2006-10"
"8665","2006-11"
"5846","2006-12"
"16282","2007-01"
"5851","2007-02"
"10066","2007-03"
"7120","2007-04"
"7241","2007-05"
"6791","2007-06"
"9011","2007-07"
"6639","2007-08"
"8030","2007-09"
"8628","2007-10"
"6723","2007-11"
"6437","2007-12"
"16609","2008-01"
"12514","2008-02"
"7081","2008-03"
"8550","2008-04"
"8905","2008-05"
"9202","2008-06"
"8758","2008-07"
"8259","2008-08"
"12264","2008-09"
"11198","2008-10"
"10704","2008-11"
"9195","2008-12"
"17975","2009-01"
"9708","2009-02"
"11268","2009-03"
"8545","2009-04"
"9571","2009-05"
"10570","2009-06"
"9776","2009-07"
"10944","2009-08"
"11089","2009-09"
"10973","2009-10"
"11458","2009-11"
"9198","2009-12"
"28539","2010-01"
"12421","2010-02"
"12844","2010-03"
"9241","2010-04"
"12936","2010-05"
"10492","2010-06"
"11046","2010-07"
"12940","2010-08"
"12178","2010-09"
"12186","2010-10"
"13105","2010-11"
"12150","2010-12"
"17504","2011-01"
"9968","2011-02"
"14110","2011-03"
"14283","2011-04"
"14581","2011-05"
"14346","2011-06"
"16181","2011-07"
"13616","2011-08"
"14591","2011-09"
"16013","2011-10"
"17152","2011-11"
"14517","2011-12"
"17765","2012-01"
"16595","2012-02"
"15992","2012-03"
"17373","2012-04"
"17503","2012-05"
"14843","2012-06"
"16195","2012-07"
"13708","2012-08"
"13213","2012-09"
"16989","2012-10"
"15472","2012-11"
"14674","2012-12"
"22001","2013-01"
"15312","2013-02"
"20504","2013-03"
"19352","2013-04"
